row_id,USERID,TIMESTAMP,_id,belongSys,record,eid,target1RM,mydate,goalDate,recordReachTime
167939885,3773197,"2025-01-22 11:06:10",1,1,55,12,0,,0,1525340232
167939886,3773197,"2025-01-28 10:49:40",2,1,82,93,0,,0,1585391727
167939887,3773197,"2017-10-28 15:32:11",3,1,83,86,0,,0,1457628692
167939888,3773197,"2016-02-25 17:08:12",4,1,18.2,26,0,,0,1456419892
167939889,3773197,"2025-01-28 10:49:40",5,1,12,25,0,,0,1456418678
167939890,3773197,"2016-02-25 17:08:12",6,1,8.39,100,0,,0,1456181212
167939891,3773197,"2025-01-28 10:49:40",7,1,54,2,0,,0,1526480483
167939892,3773197,"2025-01-28 10:49:40",8,1,23,90,0,,0,1651998095
167939893,3773197,"2016-02-25 17:08:12",9,1,58,14,0,,0,1456417677
167939894,3773197,"2016-02-25 17:08:12",10,1,100.06,130,0,,0,1456418115
167939895,3773197,"2024-03-19 11:11:35",11,1,14,61,0,,0,1520349590
167939896,3773197,"2017-07-08 14:55:52",12,1,25,479,0,,0,1472051870
168583032,3773197,"2017-10-25 14:24:34",13,1,49,874,0,,0,1459523899
168583033,3773197,"2016-02-29 17:33:12",14,1,45.33,79,0,,0,1456764156
168583034,3773197,"2017-10-25 14:24:34",15,1,24,42,0,,0,1491061222
168583035,3773197,"2018-02-20 16:36:40",16,1,60,250,0,,0,1509201734
168583036,3773197,"2025-01-28 10:49:40",17,1,14,106,0,,0,1493567838
169022882,3773197,"2021-03-15 10:39:48",18,1,34,453,0,,0,1576320092
169022883,3773197,"2021-03-02 10:26:50",19,1,10,44,0,,0,1456937468
177887030,3773197,"2025-01-22 11:06:10",20,1,11,83,0,,0,1614506327
178266199,3773197,"2018-10-11 11:02:10",21,1,56,386,0,,0,1523977978
179791449,3773197,"2018-02-20 16:36:40",22,1,0,310,0,,0,1462116046
179791450,3773197,"2016-05-01 16:59:42",23,1,21,88,0,,0,1462116572
179791451,3773197,"2025-01-28 10:49:40",24,1,16,108,0,,0,1508937990
179791452,3773197,"2017-10-20 14:34:35",25,1,30,788,0,,0,1462459957
179948066,3773197,"2025-01-28 10:49:40",26,1,12,32,0,,0,1599819272
180384477,3773197,"2024-11-18 10:13:51",27,1,20,482,0,,0,1466177254
180384478,3773197,"2025-01-29 10:33:43",28,1,14,136,0,,0,1462376313
194324320,3773197,"2025-01-28 10:49:40",29,1,13,29,0,,0,1602153154
195218984,3773197,"2016-10-21 16:38:49",30,1,52.5,163,0,,0,1477064727
211821387,3773197,"2017-05-14 15:15:40",31,1,19,131,0,,0,1478709559
227825715,3773197,"2025-01-28 10:49:40",32,1,0,24,0,,0,1616062012
240806998,3773197,"2017-04-17 15:39:02",33,1,10,832,0,,0,1491832318
304791326,3773197,"2018-06-01 14:49:41",34,1,16,247,0,,0,1523110442
305062217,3773197,"2024-12-15 11:08:26",35,1,50,11,0,,0,1525601947
305345577,3773197,"2024-07-01 10:05:21",36,1,56,926,0,,0,1574335609
305345578,3773197,"2025-01-29 10:33:43",37,1,70,143,0,,0,1527072770
306208249,3773197,"2024-03-24 11:17:22",38,1,46,3,0,,0,1523803532
316150751,3773197,"2025-01-28 10:49:40",39,1,11,154,0,,0,1611658281
331427695,3773197,"2025-01-16 10:50:12",40,1,3.33,872,0,,0,1737024584
713881842,3773197,"2021-04-21 07:37:48",41,1,0,631,0,,0,1614511617
714577976,3773197,"2021-04-21 07:37:48",42,1,0,194,0,,0,1614679778
714577977,3773197,"2021-03-19 09:59:37",43,1,0,94,0,,0,1614680129
731970558,3773197,"2025-01-13 11:11:11",44,1,12,47,0,,0,1642929135
737077638,3773197,"2025-01-29 10:33:43",45,1,13,478,0,,0,1729419911
829599274,3773197,"2022-01-01 11:37:04",46,1,3.33,74,0,,0,1640952057
931405193,3773197,"2022-08-24 09:44:33",47,1,0,827,0,,0,1661333303
952864023,3773197,"2025-01-15 10:13:19",48,1,20,205,0,,0,1731578271
